0.001	0.001	0	0	0	
0.004	0.003	0	0.001	0.001	
0.007	0.006	0	0.001	0.002	
0.023	0.018	0	0.003	0.006	
0.074	0.066	0.002	0.012	0.022	
0.001	0	0	0	0	
0.003	0.003	0	0	0.001	
0.006	0.005	0.001	0.001	0.002	
0.019	0.016	0	0.004	0.007	
0.065	0.064	0.001	0.012	0.025	
0.001	0	0	0	0	
0.004	0.002	0	0	0.001	
0.007	0.004	0.001	0.001	0.002	
0.019	0.015	0.001	0.003	0.007	
0.064	0.057	0.001	0.013	0.023	
0.001	0	0	0	0	
0.003	0.003	0	0	0.001	
0.006	0.005	0.001	0.001	0.002	
0.019	0.018	0	0.003	0.008	
0.065	0.065	0.001	0.011	0.026	
