0.001	0.001	0	0	0.007	0.008	0	
0.029	0.015	0.001	0.01	0.161	0.142	0.001	
0.109	0.053	0.001	0.036	0.656	0.574	0.002	
0.933	0.475	0.006	0.338	5.811	5.268	0.006	
10.199	5.341	0.021	3.661	67.027	61.627	0.021	
0.001	0	0	0	0.002	0	0	
0.028	0.001	0	0	0.032	0	0	
0.115	0.001	0	0	0.127	0	0.001	
0.955	0.001	0.001	0.001	1.109	0	0.001	
10.617	0	0.005	0.005	11.889	0	0.005	
0.001	0.001	0	0.001	0.01	0.009	0	
0.024	0.026	0	0.018	0.235	0.242	0	
0.096	0.103	0.001	0.071	0.934	0.96	0	
0.82	0.947	0.002	0.66	8.765	9.045	0.002	
9.35	10.401	0.006	7.003	99.038	97.913	0.005	
0.002	0	0	0	0.001	0	0	
0.027	0	0	0	0.032	0.001	0	
0.109	0.001	0	0.001	0.123	0.002	0	
0.918	0	0.002	0.001	1.052	0.003	0.001	
10.272	0.001	0.006	0.006	11.751	0.004	0.005	
