Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,66.0,25.0,0.0,72.52747252747253,27.47252747252747,0.0,0.6003162333099086,0.04990377118140248,0.18480368409709094,44.06926713930648,78.00155297353771,175.6070054973694,132.7688482081492,42.83815728922022,1.9297473131579057,1.4589983319576834,0.4707489812002222,97.47863298655471,1.0711937690830189,55.509535459856664,0.6756756756756757,25.0,0.14814814814814814,8.0,0.8518518518518519,46.0,0.32432432432432434,12.0,0.7575757575757576,0.6756756756756757,0.7142857142857142,0.5389790718791662,0.8558558558558559,0.7368881911148601,0.7252747252747253,0.07348584434767744,0.9265141556523225,0.27472527472527475,0.7512487512487512,0.7252747252747253,0.7264877979163693,0.6506159478232969,0.9011538783670894,0.7434078807554426,0.4031385281385282,0.7252747252747253,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,89.01098901098901,16.208791208791233,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,69.0,22.0,0.0,75.82417582417582,24.175824175824175,0.0,0.6358013461888302,0.04512485467819616,0.1793505521163836,39.86074329620936,75.7252083255711,176.41038742301512,135.66238228398544,40.74800513902969,1.9385756859671992,1.4907954097141256,0.4477802762530735,99.30525544987607,1.0912665434052315,56.29218148688242,0.7567567567567568,28.0,0.2037037037037037,11.0,0.7962962962962963,43.0,0.24324324324324326,9.0,0.717948717948718,0.7567567567567568,0.736842105263158,0.5489471829569244,0.8743743743743744,0.803116912818721,0.7582417582417582,0.09174154707281128,0.9082584529271887,0.24175824175824176,NaN,0.7582417582417582,NaN,NaN,0.90581920466815,0.7607741439284094,NaN,0.7582417582417582,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,89.01098901098901,14.835164835164845,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,61.0,30.0,0.0,67.03296703296704,32.967032967032964,0.0,0.5066859414528369,0.05458371350042016,0.1979821931958586,48.2161639635237,83.59184093718953,176.41038742301512,144.35442898401092,32.0559584390042,1.9385756859671992,1.5863124064177025,0.3522632795494967,84.54867067273642,0.9291062711289717,47.92726318887156,0.7027027027027027,26.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.2972972972972973,11.0,0.6666666666666666,0.7027027027027027,0.6842105263157895,0.4585323528228427,0.8678678678678678,0.818651001212194,0.6703296703296703,0.11176428614049277,0.8882357138595073,0.32967032967032966,NaN,0.6703296703296703,NaN,NaN,0.8985637398355207,0.7531433083748587,NaN,0.6703296703296703,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,87.91208791208791,17.21611721611724,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,67.0,24.0,0.0,73.62637362637362,26.373626373626372,0.0,0.6009501187648457,0.0511687613659856,0.1889071180862437,44.91645553512439,79.19612769170841,186.39154728906246,179.62660356041573,6.7649437286467275,2.0482587614182686,1.9739187204441289,0.07434004097413986,90.84534299902806,0.9983004725167919,48.738982169691404,0.7837837837837838,29.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.21621621621621623,8.0,0.6904761904761905,0.7837837837837838,0.7341772151898734,0.5350684096121445,0.8533533533533534,0.7489562803533233,0.7362637362637363,0.10702315114079819,0.8929768488592018,0.26373626373626374,NaN,0.7362637362637363,NaN,NaN,0.8839056636506651,0.7307069024240161,NaN,0.7362637362637363,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,85.71428571428571,16.025641025641043,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,60.0,31.0,0.0,65.93406593406593,34.065934065934066,0.0,0.5075069832402234,0.05707129439768166,0.19852382003236327,50.09581559244511,83.22418179338544,187.9765097897836,214.6916189866744,-26.715109196890808,2.0656759317558637,2.3592485602931252,-0.2935726285372616,81.1200648963609,0.8914292845753945,43.15436273770507,0.5945945945945946,22.0,0.2222222222222222,12.0,0.7777777777777778,42.0,0.40540540540540543,15.0,0.6470588235294118,0.5945945945945946,0.619718309859155,0.37809271298247255,0.8313313313313313,0.7145816980775953,0.6593406593406593,0.10492487003643189,0.8950751299635683,0.34065934065934067,NaN,0.6593406593406593,NaN,NaN,0.8676002083709997,0.7157359588892227,NaN,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,84.61538461538461,17.85714285714288,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,64.0,27.0,0.0,70.32967032967034,29.67032967032967,0.0,0.538504883546206,0.05429035242477539,0.1960246520836834,47.68806400045758,82.24100452982637,183.71998169469822,197.16791023840065,-13.447928543702432,2.0189008977439364,2.166680332290117,-0.14777943454618056,80.28508634331668,0.882253696080403,43.69970299514435,0.7837837837837838,29.0,0.3333333333333333,18.0,0.6666666666666666,36.0,0.21621621621621623,8.0,0.6170212765957447,0.7837837837837838,0.6904761904761905,0.44276114337188993,0.8038038038038038,0.6703919893605629,0.7032967032967034,0.1426589598272225,0.8573410401727775,0.2967032967032967,NaN,0.7032967032967034,NaN,NaN,0.8480516436349933,0.6787677716470908,NaN,0.7032967032967034,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,84.61538461538461,16.94139194139196,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,63.0,28.0,0.0,69.23076923076923,30.76923076923077,0.0,0.5402381811620353,0.05626252839305087,0.19841975443519494,49.420402244634566,83.24585581381679,183.71998169469822,178.51798398069266,5.201997714005557,2.0189008977439364,1.9617360876999195,0.05716481004401711,80.7595539269239,0.8874676255705923,43.9579588360336,0.7297297297297297,27.0,0.24074074074074073,13.0,0.7592592592592593,41.0,0.2702702702702703,10.0,0.675,0.7297297297297297,0.7012987012987014,0.4839290998154151,0.8443443443443444,0.6940507484354169,0.6923076923076923,0.10956896374133035,0.8904310362586697,0.3076923076923077,NaN,0.6923076923076923,NaN,NaN,0.8693656075031881,0.6831026760331915,NaN,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,90.10989010989012,15.842490842490859,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,817.0,91.0,70.0,21.0,0.0,76.92307692307692,23.076923076923077,0.0,0.6526717557251909,0.04997626093888447,0.1832583329282019,43.89861225268977,76.88496945803881,183.71998169469822,152.56015595893663,31.159825735761586,2.0189008977439364,1.676485230317985,0.3424156674259515,91.50264718840384,1.0055235954769652,49.805495485222124,0.8378378378378378,31.0,0.18518518518518517,10.0,0.8148148148148148,44.0,0.16216216216216217,6.0,0.7560975609756098,0.8378378378378378,0.7948717948717948,0.6443219385653527,0.8588588588588588,0.7093370218775253,0.7692307692307693,0.08467456948989097,0.9153254305101091,0.23076923076923078,NaN,0.7692307692307693,NaN,NaN,0.8906051746876449,0.7285158419220957,NaN,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211555.0,80149.0,87.91208791208791,17.857142857142872,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,818.0,90.0,62.0,28.0,0.0,68.88888888888889,31.11111111111111,0.0,0.5268494179496809,0.052085781598098575,0.19309531923901532,45.961661900038926,81.43113352466368,174.18128452967065,166.67581695906023,7.505467570610421,1.9353476058852295,1.851953521767336,0.08339408411789356,84.60206342862021,0.940022926984669,48.571270821124756,0.7297297297297297,27.0,0.2830188679245283,15.0,0.7169811320754716,38.0,0.2702702702702703,10.0,0.6428571428571429,0.7297297297297297,0.6835443037974683,0.4405751983796411,0.8663946965833759,0.8109446995817542,0.6888888888888889,0.12753024677325653,0.8724697532267434,0.3111111111111111,NaN,0.6888888888888889,NaN,NaN,0.8820918442323029,0.745202380031957,NaN,0.6888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211736.0,79968.0,87.77777777777777,15.648148148148154,?,?,?,?
hawks_fillna-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1478242251770381214,2.02012110511E7,818.0,90.0,65.0,25.0,0.0,72.22222222222223,27.77777777777778,0.0,0.5749905553456742,0.05288358240297655,0.19324476266490742,46.665659223921246,81.49415601332971,174.18128452967065,165.9972050929914,8.18407943667924,1.9353476058852295,1.8444133899221267,0.09093421596310268,82.80112884508634,0.9200125427231816,47.53732817430319,0.8378378378378378,31.0,0.22641509433962265,12.0,0.7735849056603774,41.0,0.16216216216216217,6.0,0.7209302325581395,0.8378378378378378,0.7749999999999999,0.6022783188912022,0.8510963793982662,0.7378983411352342,0.7222222222222222,0.10455004309824256,0.8954499569017574,0.2777777777777778,NaN,0.7222222222222222,NaN,NaN,0.8727604930428267,0.7142902301929038,NaN,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,313239.0,211736.0,79968.0,83.33333333333333,15.555555555555571,?,?,?,?
